title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
L.A. Confidential,138 min,Mystery,Curtis Hanson,Brian Helgeland,,8.3,386669 users
Rashômon,88 min,Drama,Akira Kurosawa,Akira Kurosawa,,8.3,93679 users
Inglourious Basterds,153 min,War,Eli Roth,Quentin Tarantino,,8.3,789696 users
The Apartment,125 min,Romance,Billy Wilder,I.A.L. Diamond,,8.3,99468 users
All About Eve,138 min,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz,,8.4,76575 users
The Treasure of the Sierra Madre,126 min,Drama,John Huston,B. Traven,,8.3,73121 users
Indiana Jones and the Last Crusade,127 min,Adventure,Steven Spielberg,George Lucas,,8.3,470122 users
Jodaeiye Nader az Simin,123 min,Drama,Asghar Farhadi,Asghar Farhadi,,8.4,138808 users
Metropolis,153 min,Sci-Fi,Fritz Lang,Thea von Harbou,,8.3,102273 users
Yôjinbô,110 min,Drama,Akira Kurosawa,Akira Kurosawa,,8.3,67705 users
Scarface,170 min,Drama,Brian De Palma,Oliver Stone,,8.3,492478 users
Some Like It Hot,120 min,Comedy,Billy Wilder,I.A.L. Diamond,,8.3,161646 users
Batman Begins,140 min,Adventure,Christopher Nolan,David S. Goyer,,8.3,884780 users
The Third Man,104 min,Thriller,Carol Reed,Graham Greene,,8.3,105069 users
Unforgiven,131 min,Western,Clint Eastwood,David Webb Peoples,,8.3,256090 users
3 Idiots,170 min,Drama,Rajkumar Hirani,Abhijat Joshi,,8.5,177667 users
Up,96 min,Comedy,Bob Peterson,Bob Peterson,,8.3,593336 users
Raging Bull,129 min,Sport,Martin Scorsese,Joseph Carter,,8.3,217313 users
Jagten,115 min,Drama,Thomas Vinterberg,Thomas Vinterberg,,8.3,145592 users
Der Untergang,156 min,War,Oliver Hirschbiegel,Joachim Fest,,8.3,230398 users
Good Will Hunting,126 min,Drama,Gus Van Sant,Ben Affleck,,8.3,549113 users
The Great Escape,172 min,History,John Sturges,James Clavell,,8.3,152415 users
Chinatown,130 min,Mystery,Roman Polanski,Robert Towne,,8.3,199344 users
Die Hard,131 min,Thriller,John McTiernan,Jeb Stuart,,8.3,546312 users
Heat,170 min,Drama,Michael Mann,Michael Mann,,8.3,400237 users
On the Waterfront,108 min,Drama,Elia Kazan,Budd Schulberg,,8.3,92198 users
Pan's Labyrinth,118 min,War,Guillermo del Toro,Guillermo del Toro,,8.2,430893 users
Mr. Smith Goes to Washington,129 min,Drama,Frank Capra,Lewis R. Foster,,8.3,71596 users
The Bridge on the River Kwai,161 min,War,David Lean,Carl Foreman,,8.2,136869 users
Tonari no Totoro,86 min,Fantasy,Hayao Miyazaki,Hayao Miyazaki,,8.3,150403 users
Ran,162 min,War,Akira Kurosawa,Hideo Oguni,,8.3,71381 users
The Gold Rush,95 min,Drama,Charles Chaplin,Charles Chaplin,,8.3,61160 users
